"message_id","user_is_bot","user_first_name","chat_type","text","date","context_date"
"8","false","Julia","supergroup","Oi, gostaria de saber qual é o meu saldo atual na conta corrente.","1728007889","2024-10-03"
"9","false","Julia","supergroup","Meu cartão de débito não está funcionando. Você pode me ajudar a descobrir o que está acontecendo?","1728007905","2024-10-03"
"10","false","Julia","supergroup","Quais são as taxas associadas à minha conta de poupança? Estou pensando em transferir dinheiro.","1728007923","2024-10-03"
"7","false","Julia","supergroup","o bruno tá aqui","1727906989","2024-10-02"
"20","false","Thiago","supergroup","como contestar uma compra feita no cartão de crédito?","1728439532","2024-10-08"
"21","false","Julia","supergroup","em uma conta conjunta, tem como mudar o titular?","1728440713","2024-10-08"
"16","false","Thiago","supergroup","qual a minha fatura?","1728352071","2024-10-07"
"17","false","Thiago","supergroup","qual o meu saldo?","1728352077","2024-10-07"
"18","false","Julia","supergroup","perdi meu cartão, o que fazer?","1728353040","2024-10-07"
"19","false","Julia","supergroup","quantas vezes posso solicitar um cartão novo?","1728353064","2024-10-07"
